Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2021-03-22,988.583740234375,704.1702270507812,2869.852294921875,2346.888671875,713.093017578125,3285.9755859375,938.9309692382812,5304.568359375,39.75209426879883,510.7703857421875,746.1867065429688,95.79434967041016,858.9465942382812,2585.204345703125,,1387.2103271484375,829.7246704101562,1410.3525390625,671.4520874023438,2766.76904296875,330.28668212890625,2212.805908203125,554.3303833007812,934.9464111328125,1249.55859375,195.87188720703125,,422.6652526855469,1817.15966796875,1341.0518798828125,811.8587646484375,6879.7705078125,1583.42529296875,91.58149719238281,84.5597915649414,102.38165283203125,948.7018432617188,890.5887451171875,345.4366760253906,262.48431396484375,568.0317993164062,601.4205322265625,301.1789855957031,30.686290740966797,2964.18701171875,900.1732177734375,1437.355224609375,796.4495849609375,6587.75830078125,200.75424194335938
2021-03-23,1055.7662353515625,720.4112548828125,2910.997314453125,2331.9892578125,727.3807373046875,3298.169921875,938.8660278320312,5294.18408203125,39.76779556274414,511.9796142578125,749.3245849609375,95.51188659667969,862.5568237304688,2610.217529296875,,1384.6103515625,831.5049438476562,1440.1119384765625,675.1064453125,2741.38720703125,322.4609069824219,2197.8544921875,566.8486938476562,956.0952758789062,1250.2421875,192.57846069335938,,419.3431701660156,1807.1900634765625,1345.1705322265625,803.8644409179688,6962.1201171875,1592.3314208984375,90.58106231689453,82.6695327758789,100.2978515625,960.2478637695312,889.3026123046875,350.8017883300781,267.21563720703125,565.0042724609375,614.5527954101562,305.50213623046875,30.589298248291016,2976.453125,900.4395751953125,1471.8543701171875,810.1883544921875,6794.4580078125,201.26283264160156
2021-03-24,1022.8981323242188,689.4898681640625,2884.17626953125,2364.158935546875,703.3355712890625,3231.100830078125,918.5867919921875,5187.39111328125,38.46419143676758,506.56231689453125,765.5933227539062,93.42863464355469,858.2659912109375,2569.55859375,,1361.455810546875,827.0968017578125,1419.6163330078125,668.1434936523438,2711.359375,308.8994445800781,2180.270263671875,548.5787963867188,925.8204956054688,1234.0162353515625,187.16165161132812,,415.1193542480469,1777.0809326171875,1311.4539794921875,772.219970703125,6845.814453125,1570.0660400390625,88.37176513671875,80.85643768310547,101.2367172241211,941.7559204101562,871.296875,338.706787109375,266.36053466796875,562.5533447265625,609.7069091796875,292.6321105957031,29.00649070739746,2956.08984375,881.1669311523438,1464.767578125,781.56591796875,6715.6845703125,199.08311462402344
2021-03-25,979.107421875,671.3466186523438,2775.26416015625,2324.152587890625,691.586669921875,3139.688232421875,904.162109375,5041.62109375,37.45900344848633,491.1811828613281,760.0899658203125,90.46266174316406,864.1942138671875,2492.1044921875,,1346.8370361328125,811.3289794921875,1404.7845458984375,658.7609252929688,2628.959716796875,305.25390625,2103.58544921875,552.49365234375,924.9513549804688,1215.8310546875,183.3915557861328,,415.736328125,1757.5897216796875,1313.32177734375,753.4712524414062,6575.1767578125,1543.529541015625,85.87066650390625,78.69615936279297,99.10709381103516,916.06494140625,854.8741455078125,334.3299865722656,260.6981506347656,553.37451171875,595.896240234375,283.7870178222656,29.84639549255371,2902.8134765625,860.3401489257812,1428.0535888671875,754.5862426757812,6527.5400390625,193.58529663085938
2021-03-26,985.8406372070312,685.783203125,2817.100341796875,2423.757568359375,695.171142578125,3227.962890625,945.080078125,5101.51318359375,38.448490142822266,505.44989013671875,760.2830200195312,91.52193450927734,869.2150268554688,2472.885986328125,,1379.067138671875,812.6004028320312,1431.6162109375,663.4028930664062,2625.51904296875,318.0376281738281,2179.611572265625,559.2603149414062,920.0745849609375,1218.0186767578125,182.78485107421875,,422.5703430175781,1765.71533203125,1339.375732421875,760.7517700195312,6572.8515625,1581.869384765625,86.87110137939453,79.0047607421875,98.28274536132812,917.5369262695312,864.6190185546875,336.2124938964844,271.55743408203125,564.3795166015625,608.931640625,294.5700378417969,31.650007247924805,2904.659912109375,880.1456298828125,1482.1895751953125,756.6768188476562,6594.8564453125,195.64395141601562
2021-03-30,1028.983154296875,693.0989379882812,2890.10400390625,2494.2890625,692.3333740234375,3287.723876953125,948.5639038085938,5111.8486328125,39.516510009765625,504.48248291015625,784.17919921875,93.88765716552734,891.349853515625,2549.567626953125,,1395.74609375,844.1786499023438,1491.5186767578125,679.254638671875,2648.80078125,317.2112731933594,2255.63818359375,571.7302856445312,928.0899047851562,1262.77587890625,185.94830322265625,,443.68939208984375,1775.884521484375,1363.5616455078125,756.61181640625,6638.1005859375,1638.4984130859375,89.78904724121094,79.85345458984375,101.37411499023438,933.4758911132812,862.8381958007812,339.6009521484375,269.9328308105469,574.4714965820312,609.51318359375,295.2160339355469,33.0181999206543,2991.559326171875,903.1485595703125,1527.8111572265625,757.2742309570312,6644.1572265625,202.52224731445312
2021-03-31,1028.583984375,685.149169921875,2867.431884765625,2454.95947265625,694.42431640625,3291.220947265625,965.1596069335938,5068.8359375,39.2966194152832,500.4195861816406,786.9791870117188,92.05156707763672,890.915771484375,2514.800048828125,,1423.1685791015625,833.0310668945312,1433.8720703125,687.6002807617188,2603.891845703125,317.7459716796875,2286.434326171875,562.6919555664062,921.7162475585938,1247.0516357421875,189.37171936035156,,444.6385192871094,1747.7196044921875,1359.107421875,756.8497924804688,6645.27001953125,1638.517578125,88.8302993774414,78.8118896484375,98.76361846923828,921.4238891601562,871.4453125,342.8952941894531,270.2558288574219,574.5675659179688,619.2049560546875,299.93670654296875,33.50728225708008,3009.83935546875,880.5452270507812,1533.5693359375,747.7168579101562,6597.50048828125,200.60891723632812
2021-04-01,1104.4447021484375,718.1677856445312,2858.9365234375,2468.84326171875,709.9068603515625,3356.182861328125,977.2283935546875,5189.2119140625,39.61073684692383,503.80535888671875,790.0687255859375,93.32269287109375,905.0509033203125,2541.068603515625,,1427.0440673828125,849.9432983398438,1427.2481689453125,682.46435546875,2641.8740234375,340.4941711425781,2255.967529296875,574.5819091796875,959.2338256835938,1262.6846923828125,190.71507263183594,,482.8901062011719,1799.1142578125,1383.724365234375,768.6034545898438,6707.9521484375,1630.6854248046875,89.9557876586914,80.50924682617188,100.16046142578125,930.0488891601562,874.017578125,348.8721923828125,279.83251953125,587.0142211914062,630.1080932617188,305.8499755859375,35.620452880859375,2997.66845703125,881.1669311523438,1534.848876953125,747.5176391601562,6755.046875,201.69879150390625
2021-04-05,1135.4176025390625,724.0204467773438,2884.07763671875,2429.078857421875,682.2772827148438,3226.57275390625,946.49755859375,4884.43310546875,41.27558517456055,511.0122375488281,791.4686889648438,91.66317749023438,898.9253540039062,2431.020263671875,,1419.195068359375,876.138427734375,1391.5849609375,673.723876953125,2580.02978515625,340.883056640625,2231.61279296875,552.2037963867188,905.20263671875,1285.2000732421875,184.2149200439453,,491.1953125,1753.9007568359375,1344.643798828125,737.05419921875,6557.447265625,1611.3460693359375,88.62187194824219,79.81485748291016,98.0766372680664,916.593994140625,865.6836547851562,332.7769470214844,270.951171875,585.14013671875,625.068359375,303.1666259765625,35.81443405151367,3067.66162109375,886.09619140625,1510.881591796875,726.2127685546875,6654.14404296875,206.08248901367188
2021-04-06,1222.3505859375,815.0289306640625,2947.3505859375,2526.7490234375,674.9591674804688,3241.816162109375,950.2759399414062,4914.55224609375,41.13423156738281,514.8333129882812,807.3029174804688,92.01626586914062,911.2849731445312,2401.468017578125,,1405.50830078125,871.81494140625,1382.609130859375,688.5385131835938,2580.9677734375,340.68865966796875,2264.618408203125,547.0321044921875,895.4491577148438,1286.2484130859375,184.3015594482422,,510.13128662109375,1762.9736328125,1341.961669921875,743.3829956054688,6540.73486328125,1630.547119140625,88.41344451904297,80.20063018798828,95.80964660644531,912.7760009765625,890.4868774414062,329.95318603515625,274.58575439453125,596.3372192382812,653.7559204101562,305.8499755859375,35.61219787597656,3092.097412109375,880.4564208984375,1501.5306396484375,700.5272827148438,6596.2275390625,206.90594482421875
