Date,AAPL,GOOG,MSFT
2021-07-07,141.6644744873047,129.61180114746094,271.2909240722656
2021-07-08,140.3612060546875,128.7145233154297,268.8583984375
2021-07-09,142.19363403320312,129.11058044433594,269.3623046875
2021-07-12,141.5959014892578,130.0965576171875,268.7614440917969
2021-07-13,142.7129669189453,130.52552795410156,272.3084411621094
2021-07-14,146.1524200439453,131.609619140625,273.79132080078125
2021-07-15,145.49591064453125,130.79652404785156,272.35693359375
2021-07-16,143.44790649414062,131.37347412109375,272.0855712890625
2021-07-19,139.5870819091797,128.79124450683594,268.4610290527344
2021-07-20,143.21273803710938,130.63214111328125,270.69970703125
2021-07-21,142.477783203125,132.12574768066406,272.71551513671875
2021-07-22,143.84963989257812,132.8511505126953,277.3092956542969
2021-07-23,145.57427978515625,137.3225860595703,280.7302551269531
2021-07-26,145.99560546875,139.14453125,280.1293640136719
2021-07-27,143.8202362060547,136.30673217773438,277.6968994140625
2021-07-28,142.0662078857422,135.89321899414062,277.3868103027344
2021-07-29,142.7129669189453,136.05166625976562,277.6580810546875
2021-07-30,142.92855834960938,134.73687744140625,276.1171875
2021-08-02,142.5953826904297,135.5026397705078,276.02996826171875
2021-08-03,144.39840698242188,135.79208374023438,278.25897216796875
2021-08-04,143.99664306640625,135.54150390625,277.6678466796875
2021-08-05,144.10440063476562,136.44972229003906,280.58489990234375
2021-08-06,143.41749572753906,136.54537963867188,280.5267639160156
2021-08-09,143.36839294433594,137.50791931152344,279.43157958984375
2021-08-10,142.8875274658203,137.60208129882812,277.5999755859375
2021-08-11,143.1427001953125,137.196533203125,278.09423828125
2021-08-12,146.1162567138672,137.89401245117188,280.8659973144531
2021-08-13,146.3223114013672,137.9104766845703,283.8121032714844
2021-08-16,148.3046875,138.41864013671875,285.50811767578125
2021-08-17,147.39202880859375,136.80892944335938,284.0350341796875
2021-08-18,143.6333770751953,136.0810546875,282.2969665527344
2021-08-19,143.96702575683594,136.42330932617188,288.1617431640625
